year,Date,Month,emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,application_type,purpose,interest_rate,grade,installment,region,loan_condition
2011,1,12,10.0,RENT,Low,24000,5000, 36 months,INDIVIDUAL,credit_card,10.65,B,162.87,munster,Good Loan
2011,1,12,10.0,RENT,Low,12252,2400, 36 months,INDIVIDUAL,small_business,15.96,C,84.33,cannught,Good Loan
2011,1,12,10.0,RENT,Low,49200,10000, 36 months,INDIVIDUAL,other,13.49,C,339.31,ulster,Good Loan
2011,1,12,1.0,RENT,Low,80000,3000, 60 months,INDIVIDUAL,other,12.69,B,67.79,ulster,Good Loan
2011,1,12,3.0,RENT,Low,36000,5000, 36 months,INDIVIDUAL,wedding,7.9,A,156.46,munster,Good Loan
2011,1,12,8.0,RENT,Low,47004,7000, 60 months,INDIVIDUAL,debt_consolidation,15.96,C,170.08,leinster,Good Loan
2011,1,12,9.0,RENT,Low,48000,3000, 36 months,INDIVIDUAL,car,18.64,E,109.43,ulster,Good Loan
2011,1,12,5.0,OWN,Low,72000,6500, 60 months,INDIVIDUAL,debt_consolidation,14.65,C,153.45,munster,Good Loan
2011,1,12,10.0,OWN,Low,75000,12000, 36 months,INDIVIDUAL,debt_consolidation,12.69,B,402.54,ulster,Good Loan
2011,1,12,3.0,RENT,Low,15000,3000, 36 months,INDIVIDUAL,credit_card,9.91,B,96.68,cannught,Good Loan
2011,1,12,0.5,RENT,Low,28000,1000, 36 months,INDIVIDUAL,debt_consolidation,16.29,D,35.31,cannught,Good Loan
2011,1,12,4.0,RENT,Low,42000,10000, 36 months,INDIVIDUAL,home_improvement,15.27,C,347.98,ulster,Good Loan
2011,1,12,10.0,MORTGAGE,Medium,110000,3600, 36 months,INDIVIDUAL,major_purchase,6.03,A,109.57,Northern-Irl,Good Loan
2011,1,12,1.0,MORTGAGE,Low,84000,6000, 36 months,INDIVIDUAL,medical,11.71,B,198.46,ulster,Good Loan
2011,1,12,6.0,RENT,Low,77385,9200, 36 months,INDIVIDUAL,debt_consolidation,6.03,A,280.01,ulster,Good Loan
